Term,Definition
filing basis,"The legal basis for filing an application for registration of a mark. The Trademark Act sets out five filing bases, and an applicant must specify and meet the requirements of one or more bases before the mark will be approved for publication for opposition or registration on the Supplemental Register. The five bases are: (1) use of a mark in commerce under Â§1(a) of the Act; (2) bona fide intention to use a mark in commerce under Â§1(b) of the Act; (3) a claim of priority, based on an earlier-filed foreign application under Â§44(d) of the Act; (4) registration of a mark in the applicantâ€™s country of origin under Â§44(e) of the Act; and (5) extension of protection of an international registration to the United States, under Â§66(a) of the Act and the Madrid Protocol. The requirements for the bases are set forth in Trademark Rule 2.34.       -- seeTMEP Â§806.     If no basis is set forth in the original application for registration, the examining attorney will issue an Office action requiring the applicant to specify a basis and meet all requirements for the basis. In applications under Â§Â§1 and 44, the applicant may claim more than one basis, and/or may add or substitute a basis after filing the application."
filing date,"the date of receipt in the Office of an application which includes (1) a specification containing a description and, if the application is a nonprovisional application, at least one claim, and (2) any required drawings     -- see MPEP 506 for more"
filing receipt,"When an application is submitted via e-TEAS, the Office immediately issues a confirmation of filing via e-mail that includes the serial number and filing date, and a summary of all the data provided by applicant in the application. This serves as evidence of filing. Applicants who file paper applications receive printed filing receipts that list the application serial number and filing date, the mark, the applicant's name, the goods and/or services, the filing bases, if available; the international class(es), and the address to be used for correspondence."
filing refusal,"also known as a final Office action, which makes ""final"" any outstanding refusals or requirements. A proper response to a final Office action is a) compliance with the requirements or b) appeal to the Trademark Trial and Appeal Board."
final office action (rejection),"an Office action on the second or any subsequent examination or consideration by an examiner that is intended to close the prosecution of a nonprovisional patent application.       -- see MPEP 706.07(b) for a final rejection and when it is proper on a first Office action      Applicant's reply under 37 CFR 1.113 to a final rejection is limited either to an appeal in the case of rejection of any claim to the Board of Patent Appeals and Interferences (37 CFR 1.191) or to an amendment complying with the requirements set forth in the Office action (37 CFR 1.114 or 1.116). Reply to a final rejection must comply with 37 CFR 1.114 or include cancellation of, or appeal from the rejection of, each rejected claim. If any claim stands allowed, the reply to a final rejection must comply with any requirements or objections as to form (37 CFR 1.113(c)).       -- see MPEP 706.07 for more"
FISMA,Federal Information Security Management Act
FMFIA,Federal Managers' Financial Integrity Act
FOIA,"Freedom of Information Act    -- see Electronic Freedom of Information Act  for more"
forms,Forms are provided as either official or unofficial (optional) formats to facilitate providing all information required to initiate desired procedures or respond to official procedural correspondence. Control numbers are assigned to identify each form and customers are usually instructed to locate forms by short form numbers rather than lengthy form titles. For a list of fillable and printable PDF forms divided by major office process and sorted by form number please see Forms
FQA,Fastener Quality Act
FR,"Federal Register     -- see News & Notices for links"
FTAA,Free Trade Agreement of the Americas
FWC,"File Wrapper Continuing application      a continuation, continuation-in-part, or divisional application filed under 37 CFR 1.62*, which uses the specification, drawings and oath or declaration from a prior nonprovisional application, which is complete as defined by 37 CFR 1.51(a)(1)       -- see MPEP 201.06(b) for more              * NOTE: 37 CFR 1.62 was deleted effective December 1, 1997. See 1203 OG 63, October 21, 1997."
FY,fiscal year - the federal fiscal year extends from October 1 through September 30.
FY,fiscal year - the federal fiscal year extends from October 1 through September 30.
GAU,Group Art Unit
generic term,"terms that the relevant purchasing public understands primarily as the common or class name for the goods or services. These terms are incapable of functioning as trademarks denoting source, and are not registrable on the Principal Register under Ã¯Â¿Â_2(f) or on the Supplemental Register. Examples include: CLASSES ONLINE for classes provided via the Internet, PIZZA.COM for pizza ordering and delivery services, and LIVE PLANTS for plant nurseries.       -- see TMEP for more info"
GI,"Geographical Indications     -- see MORE"
GICP,General Information Concerning Patents
goods and services,"goods are  products.     In the context of service marks, a service  (1) must be a real activity; (2) must be performed to the order of, or for the benefit of, someone other than the applicant; and (3)Â the activity performed must be qualitatively different from anything necessarily done in connection with the sale of the applicantâ€™s goods or the performance of another service.    -- see TMEP 1301.01 ""What is a service?"" for more information on services    -- see classification of goods and services for more"
GPRA,Government Performance and Results Act
Group,"(also referred to as a Technology Center or TC) - a unit of several Group Art Units in the mechanical, electrical, chemical or design area, managed by one or more Group Directors. Groups are more properly referred to as Technology Centers, or TCs."
Group Art Unit,"(may be abbreviated ""AU,"" ""GAU"" or ""Grp Art Unit"" on Office correspondence) - a working unit responsible for a cluster of related patent art. Staffed by one supervisory patent examiner (SPE) and a number of patent examiners who determine patentability on applications for a patent. Group Art Units are currently identified by a four digit number, i.e., 1642."
GSA,"General Services Administration, an agency of the U. S. government."
GSA,"General Services Administration, an agency of the U. S. government."
having,"(used when defining the scope of a claim)       A transitional phrase that is synonymous with (means the same thing as) ""including,"" ""containing"" or ""characterized by;"" is inclusive or open-ended and does not exclude additional, unrecited elements or method steps.       -- see MPEP 2111.03 for more"
HLA,High Level Architecture
home copy,a copy of an international application filed under the Patent Cooperation Treaty maintained by the receiving Office where the international application was filed.
home copy,a copy of an international application filed under the Patent Cooperation Treaty maintained by the receiving Office where the international application was filed.
IAC,"Inventors Assistance Center (formerly Patent Assistance Center).     1-800-786-9199"
IB,"International Bureau - the secretariat of the WIPO which, among other functions, centralizes information of various kinds relating to the protection of intellectual property."
IC,"International Class - class(es) assigned to a mark under the International Classification of Goods and Services (Nice Agreement); used in the United States since 1 September 1973      -- see TMEP 1401.02 for more"
id.,"short for ""ibid"", meaning same as previously cited"
IDC,"Initial Data Capture    Initial Data Capture (IDC) is the first phase of the publication process for a patent where the patent file is electronically captured. It takes approximately 6 weeks from the date that the allowed file is received for the completion of the Initial Data Capture of the application. The application is then sent to the File Maintenance Facility (FMF) for matching of the issue fee and any other correspondence.  The application may stay in the FMF for approximately 1-2 weeks.  However, if all requirements are not yet fulfilled the application will remain at the FMF until the requirements are met. Once all files are matched, the application will move to the FDC."
IDE,Integrated Development Environment
identification of goods and/or services,"a written statement of the goods and/or services included in an application. Every application must include an identification of goods and/or services. If you fail to list any recognizable goods or services, the USPTO will return the application and refund the fee. When specifying the goods and/or services, applicants should use clear, concise terms, i.e., common commercial names and language that the general public easily understands.               Please note that the terms in the class headings or short titles of the classes in the ""International Classification of Classes of Goods and Services"" are generally too broad and should not be used alone as an identification. Also, an international class number alone is never an acceptable listing. For a listing of acceptable wording for goods and services.         -- see Trademark Acceptable Identification of Goods and Services Manual"
IDS,see Information Disclosure Statement
IFW,"Image File Wrapper -- an electronic version of a patent application, including image and/or text versions of the bibliographic information, all papers as filed, and all office actions and correspondence related to that application.     -- see File Wrapper for more"
IG,"Inspector General - 57 statutory OIGs were created by an act of Congress in 1978 to independently detect fraud or instances of waste, abuse or misuse of federal funds and identify operational deficiencies within each of the Departments."
incontestability,-- see Section 15 Declaration of Incontestability
independent claim,a claim that does not refer back to or depend on another claim.
informal application,"an application that has been filed without one or more of the elements required to receive a filing date. The USPTO will return informal applications to applicants. Please see the entry for â€œapplication"" above for a list of the required elements."
information disclosure statement (IDS),"a list of all patents, publications, U.S. applications, or other information submitted for consideration by the Office in a non-provisional patent application filed under 35 U.S.C. Â§ 111(a) to comply with applicant's duty to submit to the Office information which is material to patentability of the invention claimed in the non-provisional application.       For patent applications filed under 35 U.S.C. Â§ 111(a), applicants and other individuals who are substantively involved in preparing or prosecuting a patent application must submit to the Office information which is material to patentability (could render a claim unpatentable) as defined in  37Â CFR Â§ 1.56. The provisions of 37 CFR Â§ 1.97 and 37 Â CFR Â§ 1.98 provide a mechanism for compliance with the duty of disclosure provided in 37 CFR Â§ 1.56.        The IDS must include a list of all patents, publications, U.S. applications, or other information submitted for consideration by the Office. The USPTO provides  forms for use in the submission of an IDS, the PTO/SB/08a and PTO/SB/08b.        -- see 37 CFR Â§Â§Â§ 1.56, 1.97 and 1.98and MPEP 609 for more"
infringement,see patent infringement
INTA,International Trademark Association
intellectual property,"Creations of the mind - creative works or ideas embodied in a form that can be shared or can enable others to recreate, emulate, or manufacture them. There are four ways to protect intellectual property - patents, trademarks, copyrights or trade secrets"
intent to use,"ITU - refers to the intent-to-use filing basis provided for in Trademark Act Section 1(b), 15 U.S.C. 1051(b). Applicants who have not yet used (in commerce that can be regulated by Congress) the mark they wish to register may file a trademark application under this filing basis. An ""intent to use"" application must include a sworn statement (usually in the form of a declaration) that applicants have a bona fide intention to use the mark in commerce. A properly worded declaration is included in the trademark application form for registration. The applicant or a person authorized to sign on behalf of the applicant must sign the declaration.       Applicants who file based on ""intent to use"" must begin actual use of the mark in commerce and file an Allegation of Use before the USPTO will register the mark. See definitions of ""Amendment to Allege Use"" and ""Statement of Use"". There is an additional filing fee for the Allegation of Use."
interference,"a proceeding, conducted before the Board of Patent Appeals and Interferences (Board), to determine priority of invention between a pending application and one or more pending applications and/or one or more unexpired patents     -- see MPEP 2300 for more"
international application,an application filed under the Patent Cooperation Treaty.
international application,allows a trademark owner to seek registration in any of the countries that have joined the Madrid Protocol by filing a single application
inter partes reexamination,"-- see reexamination proceeding       Inter partes reexamination practice primarily differs from ex parte practice in that the third party requestor may file written comments addressing issues raised by the patent owner in a response to Office action.     -- see 35 USC 311 and 37 CFR 1.902-1.997 and MPEP 2600 for more"
invention,"any art or process (way of doing or making things), machine, manufacture, design, or composition of matter, or any new and useful improvement thereof, or any variety of plant, which is or may be patentable under the patent laws of the United States.     -- see 35 USC 100  for more"
inventor,"one who contributes to the conception of an invention. The patent law of the United States of America requires that the applicant in a patent application must be the inventor.     -- see also applicant."
IP,intellectual property
IP,"Internet Protocol    The term ""IP address"" or ""ips"" refers to the unique network address of a visitor to a website"
IPA,Internet Purchasing Application
IPEA,International Preliminary Examining Authority - either a national Office or an intergovernmental organization whose tasks include the establishment of examination reports on inventions which are the subject of international applications.
IPER,"International Preliminary Examination Report (Form PCT/IPEA/409), produced by an International Preliminary Examining Authority, is a preliminary and non-binding opinion on whether the invention claimed in an international application appears to be novel, to involve an inventive step (to be non-obvious), and to be industrially applicable."
IPO,Intellectual Property Owners Association
IPR,Intellectual Property Rights
IRB,Investment Review Board
ISA,International Search Authority - either a national Office or an intergovernmental organization whose tasks include the establishment of documentary search reports on prior art with respect to inventions which are the subject of international applications.
ISR,"International Search Report (Form PCT/ISA/210), produced by an International Searching Authority, is a report listing citations of published documents that might affect the patentability of the invention claimed in an international application."
issue date,"the date that a patent application becomes a US patent.              The issue date is the date that patent rights can be exercised. U.S. patents are always issued on Tuesdays."
IT,information technology
ITU,"Intent to Use     -- see MORE INFO"
ITU,"Intent to Use     -- see MORE INFO"
J2EE,Java 2 Enterprise Edition
JCCT,Joint Commission on Commerce and Trade
joint application,"an application in which the invention is presented as that of two or more persons     -- see MPEP 201.02 and MPEP 605.07 for more; also joint inventor"
joint inventor,"an inventor who is named with at least one other inventor in a patent application, wherein each inventor contributes to the conception of the invention set forth in at least one claim in a patent application. See MPEP 2137.01 See also coinventor."
jpg,".jpg file type extension or JPEG - ""Joint Photographic Experts Group"" - is one of several digital image formats that are viewable in web browsers. JPEG image files are encoded using a standard for file compression (making the files smaller) that preserves essential color and display information in a fairly photorealistic way, with smooth edges, shapes and color blends. JPEG files are generally preferred for displaying still image photographs in digital form. The JPEG format is ""lossy"", meaning some information is lost when an image is compressed. This accounts for the ""fuzziness"" and patchy color areas what you may see when lower resolution JPEG images are enlarged to fill a space on the screen."
JPO,Japan Patent Office
JPTOS,Journal of the Patent and Trademark Office Society
JPTOS,Journal of the Patent and Trademark Office Society
kind codes,"WIPO Standard ST. 16 codes (kind codes) include a letter, and in many cases a number, used to distinguish the kind of patent document (e.g., publication of an application for a utility patent (patent application publication), patent, plant patent application publication, plant patent, or design patent) and the level of publication (e.g., first publication, second publication, or corrected publication).       -- see more about USPTO kind codes (PDF)        -- see a list of kind codes    Detailed information on Standard ST. 16 and the use of kind codes by patent offices throughout the world is available on the WIPO web site at http://www.wipo.int/scit/en, under the links for WIPO standards and other documentation."
KSA,"knowledge, skills and abilities (job qualifications)"
KSA,"knowledge, skills and abilities (job qualifications)"
lawyer,see attorney
letters patent,see patent
LIE,Legal Instruments Examiner - a position classification for USPTO employees charged with docketing cases and other administrative processing that support the workflow and examination of applications
likelihood of confusion,"a statutory basis (Trademark Act Section 2(d), 15 U.S.C. Section 1052(d), TMEP Â§1207 et seq.) for refusing registration of a trademark or service mark because it is likely to conflict with a mark or marks already registered or pendingbefore the USPTO. After an application is filed, the assigned examining attorney will search the USPTO records to determine if such a conflict exists between the mark in the application and another mark that is registered or pending before the USPTO. The USPTO will not conduct any preliminary searches for conflicting marks before an applicant files an application and cannot provide legal advice on whether a particular mark can be registered.      The principal factors considered by the examining attorney in determining whether there is a likelihood of confusion are: (1) the similarity of the marks; and (2) the commercial relationship between the goods and/or services listed in the application.       To find a conflict, the marks do not have to be identical, and the goods and/or services do not have to be the same. It may be enough that the marks are similar and the goods and/or services related. If a conflict exists between your mark and a registered mark, the examining attorney will refuse registration on the ground of likelihood of confusion. If a conflict exists between your mark and a mark in a pending application that was filed before your application, the examining attorney will notify you of the potential conflict and possibly suspend action on your application. If the earlier-filed application registers, the Examining Attorney will refuse registration of your mark on the ground of likelihood of confusion."
likelihood of confusion,"a statutory basis (Trademark Act Section 2(d), 15 U.S.C. Section 1052(d), TMEP Â§1207 et seq.) for refusing registration of a trademark or service mark because it is likely to conflict with a mark or marks already registered or pendingbefore the USPTO. After an application is filed, the assigned examining attorney will search the USPTO records to determine if such a conflict exists between the mark in the application and another mark that is registered or pending before the USPTO. The USPTO will not conduct any preliminary searches for conflicting marks before an applicant files an application and cannot provide legal advice on whether a particular mark can be registered.      The principal factors considered by the examining attorney in determining whether there is a likelihood of confusion are: (1) the similarity of the marks; and (2) the commercial relationship between the goods and/or services listed in the application.       To find a conflict, the marks do not have to be identical, and the goods and/or services do not have to be the same. It may be enough that the marks are similar and the goods and/or services related. If a conflict exists between your mark and a registered mark, the examining attorney will refuse registration on the ground of likelihood of confusion. If a conflict exists between your mark and a mark in a pending application that was filed before your application, the examining attorney will notify you of the potential conflict and possibly suspend action on your application. If the earlier-filed application registers, the Examining Attorney will refuse registration of your mark on the ground of likelihood of confusion."
Madrid Protocol,"The ""Protocol Relating to the Madrid Agreement Concerning the International Registration of Marks"" (Madrid Protocol) is an international treaty that allows a trademark owner to seek registration in any of the countries that have joined the Madrid Protocol by filing a single application, called an â€œinternational application.â€ù       -- see TMEP Chapter 1900  for more"
maintenance fees,"fees for maintaining in force a patent based on an application filed on or after December 12, 1980 --see MPEP 2500 for more"
mark,see trademark
Markush doctrine,"When materials recited in a claim are so related as to constitute claiming the members of the claimed group in the alternative, such as ""selected from the group consisting of A, B and C.""       -- see MPEP 803.02 and 2173.05(h) for more"
MARS,Machine Assisted Reference Section
mask work,images that are used to create the layers of a semiconductor chip product -- see MPEP Appendix R Â§150.1 (d) for more
mere descriptiveness,"statutory basis (Trademark Act Section 2(e)(1), 15 U.S.C. Section 1052(e)(1), TMEP 1209 et seq) for refusing registration of trademarks and service marks because the proposed mark merely describes an ingredient, quality, characteristic, function, feature, purpose or use of the specified goods or services. With regard to trademark significance, matter may be categorized along a continuum, ranging from marks that are highly distinctive to matter that is a generic name for the goods or services.       The degree of descriptiveness can be determined only by considering it in relation to the specific goods or services. At one extreme are marks that are completely arbitrary or fanciful. Next on the continuum are suggestive marks, followed by merely descriptive matter. Finally, generic terms for the goods or services are at the opposite end of the continuum from arbitrary or fanciful marks.      The major reasons for not protecting descriptive marks are: (1) to prevent the owner of a mark from inhibiting competition in the sale of particular goods or services; and (2) to maintain freedom of the public to use the language involved, thus avoiding the possibility of harassing infringement suits by the registrant against others who use the mark when advertising or describing their own products. (See also Descriptive Mark)"
MiTEAS,Madrid International Trademark Electronic Application Submission
MPEP,Manual of Patent Examining Procedure
multiple dependent claim,"a dependent claim which further limits and refers back in the alternative to more than one preceding independent or dependent claim. Acceptable multiple dependent claims shall refer to preceding claims using the terms ""or, any one of, one of, any of, either."" A multiple dependent claim may not depend on another multiple dependent claim, either directly or indirectly.     -- see 37 CFR 1.75 and MPEP 608.01(n)."
multiple dependent claim,"a dependent claim which further limits and refers back in the alternative to more than one preceding independent or dependent claim. Acceptable multiple dependent claims shall refer to preceding claims using the terms ""or, any one of, one of, any of, either."" A multiple dependent claim may not depend on another multiple dependent claim, either directly or indirectly.     -- see 37 CFR 1.75 and MPEP 608.01(n)."
national stage application,"an application which has entered the national phase of the Patent Cooperation Treaty by the fulfillment of certain requirements in a national Office, which is an authority entrusted with the granting of national or regional patents. Such an application is filed under 35 U.S.C. Â§371 in the United States and is referred to as a ""371 application."""
Native American Tribal Insignia,"insignia that various federally and state recognized Native American tribes have identified as their official tribal insignia    -- see Native American Tribal Insignia FAQ"
NIPLECC,National Intellectual Property Law Enforcement Coordination Council
NOA,Notice of Allowance
NOA,Notice of Allowance
NOCC,Network Operations Control Center
non-final office action (rejection),"an Office action made by the examiner where the applicant is entitled to reply and request reconsideration or further examination, with or without making an amendment      On taking up an application for examination or a patent in a reexamination proceeding, the examiner is required to make a thorough study of the application and of the available prior art relating to the subject matter of the claimed invention. This examination must be complete with respect to:               compliance of the application or patent under reexamination with the applicable statutes and rules        the patentability of the invention as claimed         matters of form, unless otherwise indicated."
non-final office action,"an Office action letter that raises new issues and usually is the first phase of the examination process. An examining attorney will issue a non-final Office action after reviewing the application for the first time. If a new issue arises after the applicant responds to the first non-final Office action, the examining attorney will issue another non-final Office action that sets forth the new issue(s) and continues any that remain outstanding. Applicants must respond to non-final Office action letters within 6 months from the date they are issued to avoid abandonment of the application."
non-lawyer,"a person who is not an attorney or lawyer.     -- see 37 CFR Â§ 10.14(b)"
nonprofit organization,"for purposes of small entity determination per MPEP 509.02 - (1) a university or other institution of higher education located in any country; (2) an organization of the type described in section 501(c)(3) of the Internal Revenue Code of 1954 (26 U.S.C. 501(c)(3)) and exempt from taxation under section 501(a) of the Internal Revenue Code (26 U.S.C. 501(a)); (3) any nonprofit scientific or educational organization qualified under a nonprofit organization statute of a state of this country (35 U.S.C. 201(i)); or (4) any nonprofit organization located in a foreign country which would qualify as a nonprofit organization under paragraphs (e) (2) or (3) of MPEP section 509.02 if it were located in this country     -- see MPEP 509.02 for more"
nonprovisional patent application,"an application for patent filed under 35 U.S.C. 111(a) that includes all patent applications (i.e., utility, design, plant, and reissue) except provisional applications. The nonprovisional application establishes the filing date and initiates the examination process. A nonprovisional utility patent application must include a specification, including a claim or claims; drawings, when necessary; an oath or declaration; and the prescribed filing fee       -- see application (patent)         -- see How to Get a Patent for guides for each type of patent application"
non-responsive amendment,"an amendment filed by the applicant that does not fully respond to the examiner's office action in accordance with 37 CFR 1.111      -- see MPEP 714.02"
normal publication,regular 18-month publication or redacted publication.
notice of abandonment,"a written notification from the USPTO that an application has been declared abandoned or, in other words, is no longer pending. If the application was abandoned unintentionally or due to Office error, the applicant has a deadline of two months from the issue date of the notice of abandonment to file either (1) a petition to revive the application or (2) a request to reinstate the application.     -- see see 37 CFR 1.181(f) for more"
notice of allowability,"a notification to the patent applicant that the application has been placed in condition for allowance       -- see MPEP 1302.03 Notice of Allowability for more"
notice of allowance and fees due,"NOA, a notification to the applicant that they are entitled to a patent under the law and requesting payment of a specified issue fee (and possibly a publication fee as well) within three months (non-extendable) from the mailing date of the notice of allowance     -- see MPEP 1303 Notice of Allowance  for more"
notice of allowance,"NOA - a written notification from the USPTO that a specific mark has survived the opposition period following publication in the Official Gazette, and has consequently been allowed for registration. It does not mean that the mark has registered yet. Receiving a notice of allowance is another step on the way to registration.    Notices of allowance are only issued for applications that have been filed based on ""intent to use"". The notice of allowance is important because the issue date of the Notice of Allowance establishes the due date for filing a statement of use. After receiving the Notice of Allowance, the applicant must file a statement of use or a request for an extension of time to file a statement of use within 6 months from the issue date of the notice. If the applicant fails to timely file a statement of use or a request for an extension of time to file a statement of use, the application will be abandoned."
notice of publication,"a written statement from the USPTO notifying an applicant that its mark will be published in the Official Gazette. If the examining attorney assigned to an application raises no objections to registration, or if the applicant overcomes all objections, the examining attorney will approve the mark for publication. The notice of publication provides the date of publication. Any party who believes it may be damaged by registration of the mark has thirty (30) days from the publication date to file either an opposition to registration or a request to extend the time to oppose.        If no opposition is filed or if the opposition is unsuccessful, the application enters the next stage of the registration process. A Certificate of Registration will issue for applications based on use or on a foreign registration under Ã¯Â¿Â_44, or a Notice of Allowance will issue for intent-to-use applications."
notice of references cited,"also known as a PTO-892  form. A list of relevant references cited by a patent examiner  in an Office action. The following are some examples of such references:  domestic patents, domestic patent application publications, foreign patents or patent publications, publications, electronic documents, and affidavits.      --see 37 CFR 1.104 and MPEP 707.05 for more"
NPL,"Non Patent Literature -- documents and publications that are not patents or published patent applications but  are cited as references for being relevant in a patent prosecution. For example, a magazine article or doctoral thesis relevant to a claimed invention might be cited as non-patent literature.  Typically, references cited in an application are grouped into: domestic patents and patent application publications; foreign patents; and non-patent literature."
NPL,"Non Patent Literature -- documents and publications that are not patents or published patent applications but  are cited as references for being relevant in a patent prosecution. For example, a magazine article or doctoral thesis relevant to a claimed invention might be cited as non-patent literature.  Typically, references cited in an application are grouped into: domestic patents and patent application publications; foreign patents; and non-patent literature."
OACS,Office Action Correspondence System - used by patent examiners to generate office actions.
oath,"a solemn declaration before another, complying with the laws of the state or country where made, that the document in which an applicant for patent declares that (1) he or she is the original or sole inventor, (2) shall state of what country he or she is a citizen, (3) that he or she has reviewed and understands the contents of the specification and claims which the declaration refers to, and (4) acknowledges the duty to disclose information that is material to patentability as defined by 37 CFR Â§ 1.56. An oath or declaration must be filed in each nonprovisional patent application.       -- see declaration; 35 USC Â§115; 37 CFR Â§Â§ 1.63, 1.64, and 1.66; MPEP 604 and the PTO/SB/01 form for more"
OBRA,Omnibus Budget and Reconciliation Act
OBI,"Originating Beneficiary Information - the informational portion of a wire (electronic) transfer of funds. It is a necessary and important element, providing the USPTO information as to why the ""wire"" was sent, by whom, and how to apply the payment."
OEIP,Office of Electronic Information Products
OED,Office of Enrollment and Discipline
Office,in the context of actions or activities involving the USPTO this refers to the United States Patent and Trademark Office (USPTO) itself
Office action,"a letter from a trademark examining attorney setting forth the legal status of a trademark application. There are several types of Office actions: examinerâ€™s amendments, priority actions, non-final Office actions, final Office actions, and suspension inquiry letters."
OG,Official Gazette - weekly publication of the USPTO that includes regular and special notices of the Office
OG - Patents,Official Gazette eOG:P - weekly publication of the USPTO that permits you to browse issued patents and view important notices
OG - Trademarks,Official Gazette eOG:T - weekly publication of the USPTO that includes marks that have been published for opposition. The five most recent issues are available online.
OGC,Office of General Counsel
OIG,see IG
OHIM,Office for Harmonization in the Internal Market
OHR,Office of Human Resources
OIIP,"Office of Independent Inventors Programs (prior), now part of the Inventors Assistance Center    -- see Inventors Resources for more"
OIPE,Office of Initial Patent Examination
OLIA (superceded),"Office for Legislative and International Affairs - currently known as Administrator for External Affairs, comprised of Office of International Relations, Office of Congressional Relations, and Office of Enforcement"
OMB,"Office of Management and Budget, a branch of The Executive Office of the President    -- see OMB for more"
OPF,Official Personnel File
OPLA,Office of Patent Legal Administration
OPM,Office of Personnel Management - an agency of the U. S. Government
opposition proceeding,"a proceeding before the Trademark Trial and Appeal Board in which the plaintiff seeks to prevent the issuance of a registration of a mark. An opposition is similar to a proceeding in a federal court, but is held before the Trademark Trial and Appeal Board, a USPTO administrative tribunal.       Any person who believes that he or she will be damaged by the registration of a mark may file an opposition, but the opposition may only be filed in response to the publication of the mark in the Official Gazette."
OPR,"Formerly, Office of Public Records; now known as Public Records Division (PRD)"
original application,"""Original"" is used in the patent statute and rules to refer to an application which is not a reissue application. An original application may be a first filing or a continuing application       -- see MPEP 201.04(a)    -- see also nonprovisional patent application     -- see also provisional patent application"
original filing basis,"the basis set forth in the application as initially filed    -- see filing basis"
OTPP,Office of Technical Plans and Policy
OTPP,Office of Technical Plans and Policy
PAC,"Patent Assistance Center (prior), now the Inventors Assistance Center or IAC, call (toll-free) 1-800-786-9199 or 703-308-4357"
PAC,Public Advisory Committee
PAIR,"Patent Application Information Retrieval         -- see Patent EBC  for more         provides secure access for customers who want to view current patent application status electronically via the Internet"
PALM,Patent Application Locating and Monitoring system - an internal USPTO system that is the source of status information displayed in PAIR
PAR,"Performance and Accountability Report     -- see Annual Reports for more"
parent application,"The term ""parent"" is applied to an earlier application of the inventor disclosing a given invention         --see MPEP 201.04 for more"
PASAT,Patent Application Specification Authoring Tool -- no longer used as of 22 August 2004
patent,"a property right granted by the Government of the United States of America to an inventor â€œto exclude others from making, using, offering for sale, or selling the invention throughout the United States or importing the invention into the United Statesâ€ù for a limited time in exchange for public disclosure of the invention when the patent is granted.        -- see also design patent, nonprovisional patent application, plant patent, provisional patent application, reexamination proceedings, reissue application, utility patent"
Patent and Trademark Depository Library,"a library designated by the USPTO to receive copies of patents, CD-ROMs containing registered and pending marks, and patent and trademark materials that are made available to the public for free. The libraries also actively disseminate patent and trademark information and offer internet access to USPTO's online collections.         -- see PTRC for a list of locations and more info"
patent application,"see application (patent)see How to Get a patent for guides for each type of patent application"
patent application publication,"Pre-Grant Publication of patent application at 18 months from priority date         -- see Search online"
patent family,"A patent family is the same invention disclosed by a common inventor(s) and patented in more than one country.     -- see patent family"
patent infringement,"unauthorized making, using, offering to sell, selling or importing into the United States any patented invention        -- see 35 USC Â§ 271(a)"
patent number,"unique number assigned to a patent application when it issues as a patent -- see  list    -- see patent numbering formats for an explanation of the codes that appear in a patent number"
patent pending,"A phrase that often appears on manufactured items. It means that someone has applied for a patent on an invention that is contained in the manufactured item. It serves as a warning that a patent may issue that would cover the item and that copiers should be careful because they might infringe if the patent issues. Once the patent issues, the patent owner will stop using the phrase ""patent pending"" and start using a phrase such as ""covered by U.S. Patent Number XXXXXXX."" Applying the patent pending phrase to an item when no patent application has been made can result in a fine."
patentable,suitable to be patented; entitled by law to be protected by the issuance of a patent.
payor number,see customer number
PBG,Patent Business Goals
PBG Final Rule,Patent Business Goals Final Rule - implement streamlined patent practice; a result of the American Inventors Protection Act of 1999
PBX,Private Branch Exchange - a telephony term describing a private telephone network used within an enterprise. Users of the PBX share a certain number of outside lines for making external telephone calls.
PCT,"Patent Cooperation Treaty (more)        provides a mechanism by which an applicant can file a single application that, when certain requirements have been fulfilled, is equivalent to a regular national filing in each designated Contracting State. There are currently over 112 PCT Contracting States."
PCT Regulations,"provide rules concerning matters expressly refers to in the Patent Cooperation Treaty, any administrative requirements, matters, or procedures, and concerning any details useful in the implementation of the provisions of the Patent Cooperation Treaty. The rules must be adopted by the Assembly of WIPO."
PDF,"Portable Document Format - a common proprietary document format from Adobe used for documents having mixtures of text and images that preserves the look and feel of a printed page and permits the user to zoom and magnify the pages when viewing; not ""archival"" because of its proprietary nature.         -- see PDF viewers"
PEAI,Patent Enterprise Access Integration
person,"for purposes of small entity determination per MPEP 509.02, a person is defined as any inventor or other individual (e.g., an individual to whom an inventor has transferred some rights in the invention), who has not assigned, granted conveyed, or licensed, and is under no obligation under contract or law to assign, grant, convey, or license any rights in the invention         -- see MPEP 509.02 for more"
petitions (patent matters),-- see MPEP 711.03 and Petitions Practice within the USPTO on Patent Matters for information
petition to revive an application (trademark matters),"a formal request for the USPTO to return an abandoned application to active status. These petitions are handled by the Office of the Commissioner for Trademarks, and must be received in the USPTO within two (2) months from the issue date of the notice of abandonment. The standard used for deciding a petition to revive is unintentional delay, that is, whether the applicantâ€™s delay in responding to an Office action or Notice of Allowance was unintentional.                  -- see forms for filing a petition to revive          -- see petition information sheet"
PG Pub,Pre-Grant Publication of patent application at 18 months from priority date
PKI,"Public Key Infrastructure - a system of administrative procedures and methods, combined with secure information technologies, that is used to manage secure electronic commerce. Provides for a means of securely identifying participants in electronic transactions as well as secure transmission and handling of data."
plant application (patent),"are applications to protect invented or discovered, asexually reproduced plant varieties.        -- see also nonprovisional patent application         -- see also provisional patent application"
plant patent,may be granted to anyone who invents or discovers and asexually reproduces any distinct and new variety of plant. --see also patent
PLT,Patent Law Treaty
PMA,President's Management Agenda
PMO,Program Management Office
POA,Power of Attorney - formal assignment to another of the right to legally act on your behalf
